column_1,column_2,column_3,column_4
meta-llama/Llama-3.2-1B,In 1963 there, was,"[('was', 13.627046585083008, 0.3645685811883409), ('will', 8.915074348449707, 0.003276390792890517), ('is', 11.847088813781738, 0.06148276636634116), ('were', 14.007692337036133, 0.5334473815534739), ('are', 11.345309257507324, 0.037224880098953625)]"
meta-llama/Llama-3.2-1B,In 1964 there, was,"[('was', 13.705131530761719, 0.36377455625104993), ('will', 8.947795867919922, 0.003124263770398098), ('is', 11.857463836669922, 0.057332441380602506), ('were', 14.103626251220703, 0.5418715849656199), ('are', 11.331928253173828, 0.033897153632329424)]"
meta-llama/Llama-3.2-1B,In 1965 there, was,"[('was', 13.657430648803711, 0.32282809709176996), ('will', 9.026395797729492, 0.003145853144037923), ('is', 11.971015930175781, 0.05978203846820536), ('were', 14.233442306518555, 0.5742883557539818), ('are', 11.56808090209961, 0.03995565554200495)]"
meta-llama/Llama-3.2-1B,In 1966 there, was,"[('was', 13.675049781799316, 0.35581807510726343), ('will', 8.85577392578125, 0.0028723879416400603), ('is', 11.790412902832031, 0.05404314431135071), ('were', 14.114177703857422, 0.5519996969717772), ('are', 11.363569259643555, 0.03526669566796858)]"
meta-llama/Llama-3.2-1B,In 1967 there, was,"[('was', 13.731646537780762, 0.39638281762798433), ('will', 8.926933288574219, 0.0032467912672902166), ('is', 11.822699546813965, 0.058758361394447726), ('were', 13.97946834564209, 0.5078581941993185), ('are', 11.268360137939453, 0.033753835510959056)]"
meta-llama/Llama-3.2-1B,In 1968 there, was,"[('was', 13.745016098022461, 0.40503367595312095), ('will', 9.044336318969727, 0.0036813901356358056), ('is', 11.730525970458984, 0.05402679280587219), ('were', 13.970621109008789, 0.5075398475317642), ('are', 11.132808685302734, 0.02971829357360695)]"
meta-llama/Llama-3.2-1B,In 1969 there, was,"[('was', 13.643072128295898, 0.4056688925197033), ('will', 9.11113166809082, 0.00436490677205629), ('is', 11.762213706970215, 0.061847944823073236), ('were', 13.844808578491211, 0.4963462368699481), ('are', 11.096120834350586, 0.031772019015218964)]"
meta-llama/Llama-3.2-1B,In 1970 there, were,"[('was', 13.546937942504883, 0.2577050773849221), ('will', 9.059015274047852, 0.002897629971645227), ('is', 11.70530891418457, 0.040861438397468024), ('were', 14.49453067779541, 0.6647483549639923), ('are', 11.515213012695312, 0.03378749928197237)]"
meta-llama/Llama-3.2-1B,In 1971 there, was,"[('was', 13.73629093170166, 0.3748745110363708), ('will', 9.010042190551758, 0.0033212545617026224), ('is', 11.829263687133789, 0.055676830346781794), ('were', 14.08413314819336, 0.530825610000221), ('are', 11.37363338470459, 0.0353017940549238)]"
meta-llama/Llama-3.2-1B,In 1972 there, was,"[('was', 13.817906379699707, 0.4094826408355524), ('will', 8.925653457641602, 0.0030729609917889244), ('is', 11.763328552246094, 0.05247394096613031), ('were', 14.026530265808105, 0.50447505691945), ('are', 11.220587730407715, 0.030495400287078405)]"
meta-llama/Llama-3.2-1B,In 1973 there, was,"[('was', 13.763885498046875, 0.42107993072556366), ('will', 8.833900451660156, 0.0030429810043309997), ('is', 11.772258758544922, 0.057466141757243135), ('were', 13.907443046569824, 0.48608340450776477), ('are', 11.196982383728027, 0.0323275420050974)]"
meta-llama/Llama-3.2-1B,In 1974 there, was,"[('was', 13.817760467529297, 0.417050892588943), ('will', 8.749443054199219, 0.0026245011649881815), ('is', 11.806832313537598, 0.05582825509499826), ('were', 13.981618881225586, 0.4913057646785198), ('are', 11.286818504333496, 0.033190586472550666)]"
meta-llama/Llama-3.2-1B,In 1975 there, was,"[('was', 13.732595443725586, 0.373953035388838), ('will', 9.058147430419922, 0.003489233911072411), ('is', 11.872922897338867, 0.05823331824183052), ('were', 14.074609756469727, 0.5264437711563713), ('are', 11.44290542602539, 0.037880641301887584)]"
meta-llama/Llama-3.2-1B,In 1976 there, was,"[('was', 13.733378410339355, 0.4022612315421001), ('will', 9.090694427490234, 0.0038745042705027937), ('is', 11.780574798583984, 0.057071113502140405), ('were', 13.953725814819336, 0.5014225264192679), ('are', 11.30215835571289, 0.035370624265989)]"
meta-llama/Llama-3.2-1B,In 1977 there, was,"[('was', 13.646550178527832, 0.3949806255911201), ('will', 9.04524040222168, 0.00396508359564554), ('is', 11.865638732910156, 0.0665481182656568), ('were', 13.868532180786133, 0.4931526282105095), ('are', 11.389871597290039, 0.04135354433706798)]"
meta-llama/Llama-3.2-1B,In 1978 there, was,"[('was', 13.687556266784668, 0.4036111004121002), ('will', 8.925498962402344, 0.0034500698845095035), ('is', 11.827653884887695, 0.06283733540896745), ('were', 13.885412216186523, 0.4919158872495122), ('are', 11.32956314086914, 0.038185607044910655)]"
meta-llama/Llama-3.2-1B,In 1979 there, was,"[('was', 13.66405200958252, 0.41450385333112333), ('will', 9.10542106628418, 0.004342504813387377), ('is', 11.889299392700195, 0.07026892408890223), ('were', 13.791589736938477, 0.47088787023099044), ('are', 11.325770378112793, 0.03999684753559663)]"
meta-llama/Llama-3.2-1B,In 1980 there, were,"[('was', 13.44106388092041, 0.2681612556146071), ('will', 9.338897705078125, 0.004434533054619275), ('is', 11.745216369628906, 0.04919249092256276), ('were', 14.303651809692383, 0.6353502542911963), ('are', 11.60744857788086, 0.04286146611701457)]"
meta-llama/Llama-3.2-1B,In 1981 there, was,"[('was', 13.590851783752441, 0.3710520773955903), ('will', 9.037330627441406, 0.003907201023099187), ('is', 11.916048049926758, 0.06951473116152952), ('were', 13.906718254089355, 0.5088783008837235), ('are', 11.517132759094238, 0.04664768953605756)]"
meta-llama/Llama-3.2-1B,In 1982 there, was,"[('was', 13.62396240234375, 0.3899164151177067), ('will', 8.989080429077148, 0.003785017167992017), ('is', 11.859609603881836, 0.06679175184074364), ('were', 13.867238998413086, 0.4973077212846885), ('are', 11.400428771972656, 0.04219909458886915)]"
meta-llama/Llama-3.2-1B,In 1983 there, was,"[('was', 13.582545280456543, 0.39506965023203977), ('will', 8.997669219970703, 0.00403169151462461), ('is', 11.90805435180664, 0.07403745771018062), ('were', 13.779363632202148, 0.4810063303374313), ('are', 11.428964614868164, 0.04585487020572373)]"
meta-llama/Llama-3.2-1B,In 1984 there, was,"[('was', 13.62906551361084, 0.40410916431148663), ('will', 9.189749717712402, 0.004770109469676935), ('is', 11.91397476196289, 0.07271838917064974), ('were', 13.794063568115234, 0.47660264036793365), ('are', 11.360269546508789, 0.04179969668025297)]"
meta-llama/Llama-3.2-1B,In 1985 there, was,"[('was', 13.59501838684082, 0.35872543257138656), ('will', 9.13681411743164, 0.0041551686398106896), ('is', 12.014113426208496, 0.07382167025969599), ('were', 13.955877304077148, 0.5146135349197865), ('are', 11.59781551361084, 0.04868419360932039)]"
meta-llama/Llama-3.2-1B,In 1986 there, was,"[('was', 13.624228477478027, 0.38143488996623687), ('will', 9.0342435836792, 0.003872712918027633), ('is', 11.933128356933594, 0.07030479801888442), ('were', 13.896690368652344, 0.5008977852590542), ('are', 11.452815055847168, 0.04348981383779695)]"
meta-llama/Llama-3.2-1B,In 1987 there, was,"[('was', 13.605772018432617, 0.3753562221813689), ('will', 9.095090866088867, 0.0041255293901146075), ('is', 11.999095916748047, 0.07527886357655558), ('were', 13.8854398727417, 0.4964800767073569), ('are', 11.56479263305664, 0.04875930814460401)]"
meta-llama/Llama-3.2-1B,In 1988 there, was,"[('was', 13.689315795898438, 0.3840708270452873), ('will', 9.179250717163086, 0.004223912800098697), ('is', 11.994209289550781, 0.07050759783090646), ('were', 13.947372436523438, 0.49714593840505167), ('are', 11.523853302001953, 0.04405172391865589)]"
meta-llama/Llama-3.2-1B,In 1989 there, was,"[('was', 13.758715629577637, 0.41295070729581024), ('will', 9.14968490600586, 0.004113595688710902), ('is', 11.969539642333984, 0.06900315621514691), ('were', 13.896198272705078, 0.47381212206559614), ('are', 11.42727279663086, 0.04012041873473592)]"
meta-llama/Llama-3.2-1B,In 1990 there, were,"[('was', 13.561273574829102, 0.2850457745946302), ('will', 9.373926162719727, 0.004328851948200771), ('is', 11.899324417114258, 0.05409277469270476), ('were', 14.32336139678955, 0.6107804721813743), ('are', 11.73186206817627, 0.04575212658308982)]"
meta-llama/Llama-3.2-1B,In 1991 there, was,"[('was', 13.785560607910156, 0.37821361280487736), ('will', 9.121338844299316, 0.003565261437333461), ('is', 12.10699462890625, 0.07059033027954902), ('were', 14.066300392150879, 0.500796050555773), ('are', 11.69672679901123, 0.04683474492246735)]"
meta-llama/Llama-3.2-1B,In 1992 there, was,"[('was', 13.824519157409668, 0.3904436860400465), ('will', 9.198641777038574, 0.0038244182668909716), ('is', 12.013973236083984, 0.06386285079852223), ('were', 14.073320388793945, 0.5007389865425925), ('are', 11.573974609375, 0.04113005835194772)]"
meta-llama/Llama-3.2-1B,In 1993 there, was,"[('was', 13.806211471557617, 0.3956458351409413), ('will', 9.149826049804688, 0.003758928839195445), ('is', 12.116559982299805, 0.07302982841514127), ('were', 14.002333641052246, 0.48137260888858696), ('are', 11.658515930175781, 0.046192798716135075)]"
meta-llama/Llama-3.2-1B,In 1994 there, was,"[('was', 13.827695846557617, 0.39813875012645855), ('will', 9.16132926940918, 0.0037450463215238385), ('is', 12.076314926147461, 0.06909066603277848), ('were', 14.029102325439453, 0.4869722022190688), ('are', 11.579833984375, 0.042053335300170164)]"
meta-llama/Llama-3.2-1B,In 1995 there, was,"[('was', 13.777694702148438, 0.34701122902747666), ('will', 9.403617858886719, 0.004372261130556471), ('is', 12.150810241699219, 0.06820191743137777), ('were', 14.20871353149414, 0.5339893895887011), ('are', 11.766180038452148, 0.046425202821887786)]"
meta-llama/Llama-3.2-1B,In 1996 there, was,"[('was', 13.803346633911133, 0.3547270413742741), ('will', 9.446754455566406, 0.004548313103974096), ('is', 12.0587739944458, 0.061977781425934575), ('were', 14.216497421264648, 0.5361957949947956), ('are', 11.682703018188477, 0.04255106910102175)]"
meta-llama/Llama-3.2-1B,In 1997 there, was,"[('was', 13.784826278686523, 0.35682972902564286), ('will', 9.549121856689453, 0.005163188404407641), ('is', 12.14927864074707, 0.06952671592845709), ('were', 14.160767555236816, 0.5196731181894415), ('are', 11.795446395874023, 0.0488072484520508)]"
meta-llama/Llama-3.2-1B,In 1998 there, was,"[('was', 13.78979206085205, 0.3584155759104108), ('will', 9.632646560668945, 0.0056099827212837405), ('is', 12.147242546081543, 0.06934843813051858), ('were', 14.162338256835938, 0.5202135163746942), ('are', 11.745667457580566, 0.04641248686309278)]"
meta-llama/Llama-3.2-1B,In 1999 there, was,"[('was', 13.806474685668945, 0.3441682991876924), ('will', 9.869683265686035, 0.006714969981332529), ('is', 12.128615379333496, 0.06428147410858936), ('were', 14.252480506896973, 0.5376117260318977), ('are', 11.820236206054688, 0.04722353069048814)]"
meta-llama/Llama-3.2-1B,In 2000 there, were,"[('was', 13.55504035949707, 0.23193837050624339), ('will', 10.120811462402344, 0.007480074822259515), ('is', 11.87009334564209, 0.04301395845078369), ('were', 14.622462272644043, 0.6744473435073612), ('are', 11.87256145477295, 0.043120252713352306)]"
meta-llama/Llama-3.2-1B,In 2001 there, was,"[('was', 13.73802375793457, 0.3183046944319716), ('will', 10.116670608520508, 0.008513523789627445), ('is', 12.218975067138672, 0.06968327916849831), ('were', 14.279539108276367, 0.5470413714753932), ('are', 12.008496284484863, 0.056457131134509446)]"
meta-llama/Llama-3.2-1B,In 2002 there, was,"[('was', 13.815784454345703, 0.33526849478138115), ('will', 10.090234756469727, 0.008079920148697994), ('is', 12.11767864227295, 0.061364155356539066), ('were', 14.302101135253906, 0.5452521611570358), ('are', 11.913580894470215, 0.050035268556346046)]"
meta-llama/Llama-3.2-1B,In 2003 there, was,"[('was', 13.792869567871094, 0.3414411595685035), ('will', 10.180913925170898, 0.00921856809722974), ('is', 12.193599700927734, 0.06898613188869836), ('were', 14.227241516113281, 0.5271827762743871), ('are', 11.93321418762207, 0.05317136417118115)]"
meta-llama/Llama-3.2-1B,In 2004 there, was,"[('was', 13.81622314453125, 0.3314535532567665), ('will', 10.315094947814941, 0.009997744247057391), ('is', 12.115617752075195, 0.06051445708143436), ('were', 14.320858001708984, 0.5490132336059567), ('are', 11.904984474182129, 0.04902101180878506)]"
meta-llama/Llama-3.2-1B,In 2005 there, were,"[('was', 13.655068397521973, 0.2759886751252094), ('will', 10.61050796508789, 0.013141818534026604), ('is', 12.120525360107422, 0.05949050948084189), ('were', 14.429967880249023, 0.5989986326833514), ('are', 11.993240356445312, 0.05238036417657059)]"
meta-llama/Llama-3.2-1B,In 2006 there, were,"[('was', 13.588912963867188, 0.2662204518566255), ('will', 10.806493759155273, 0.016476012367500122), ('is', 12.098579406738281, 0.05997880050034442), ('were', 14.40427303314209, 0.6016553669305519), ('are', 12.024018287658691, 0.05566936834497804)]"
meta-llama/Llama-3.2-1B,In 2007 there, were,"[('was', 13.566987037658691, 0.27529953572515514), ('will', 10.998886108398438, 0.021110251940787764), ('is', 12.082599639892578, 0.06239420035010473), ('were', 14.320037841796875, 0.5845898731646616), ('are', 11.985244750976562, 0.05660613881929074)]"
meta-llama/Llama-3.2-1B,In 2008 there, were,"[('was', 13.6417818069458, 0.2829405996372093), ('will', 11.248807907104492, 0.025848771625334884), ('is', 12.154943466186523, 0.06396900310670438), ('were', 14.34947395324707, 0.5741720709892444), ('are', 11.968148231506348, 0.05306955464150709)]"
meta-llama/Llama-3.2-1B,In 2009 there, were,"[('was', 13.573596954345703, 0.27392972298408436), ('will', 11.54306411743164, 0.035957538317070756), ('is', 12.196695327758789, 0.06912869839710958), ('were', 14.28854751586914, 0.5599358085411955), ('are', 12.072389602661133, 0.06104823176053979)]"
meta-llama/Llama-3.2-1B,In 2010 there, were,"[('was', 13.291462898254395, 0.19880138058391272), ('will', 11.853534698486328, 0.04719925171723256), ('is', 11.910554885864258, 0.04996877080504714), ('were', 14.476839065551758, 0.6504616919667542), ('are', 11.980125427246094, 0.05356890492705353)]"
meta-llama/Llama-3.2-1B,In 2011 there, were,"[('was', 13.367557525634766, 0.2259179784357468), ('will', 12.098134994506836, 0.06348156031546615), ('is', 12.112659454345703, 0.06441032425846412), ('were', 14.311963081359863, 0.5808993824161434), ('are', 12.126235961914062, 0.06529075457417961)]"
meta-llama/Llama-3.2-1B,In 2012 there, were,"[('was', 13.351405143737793, 0.2189808344584416), ('will', 12.42496109008789, 0.08670748033588498), ('is', 12.127994537353516, 0.06442962904944796), ('were', 14.307418823242188, 0.5696361886948944), ('are', 12.0608549118042, 0.0602458674613312)]"
meta-llama/Llama-3.2-1B,In 2013 there, were,"[('was', 13.235457420349121, 0.20198739014294426), ('will', 12.509208679199219, 0.09770537073802125), ('is', 12.13961124420166, 0.06751562781526858), ('were', 14.267926216125488, 0.567178498409256), ('are', 12.111027717590332, 0.06561311289450977)]"
meta-llama/Llama-3.2-1B,In 2014 there, were,"[('was', 13.209463119506836, 0.1902369057004597), ('will', 12.603630065917969, 0.10379700471236492), ('is', 12.156469345092773, 0.06637207382920748), ('were', 14.311010360717773, 0.5723881864140314), ('are', 12.168952941894531, 0.0672058293439364)]"
meta-llama/Llama-3.2-1B,In 2015 there, were,"[('was', 13.091623306274414, 0.1638190810038416), ('will', 12.757495880126953, 0.1172883260019911), ('is', 12.071788787841797, 0.05908210790469727), ('were', 14.377279281616211, 0.5925401471527302), ('are', 12.201580047607422, 0.06727033793673996)]"
meta-llama/Llama-3.2-1B,In 2016 there, were,"[('was', 12.957780838012695, 0.145923190486017), ('will', 12.87913990020752, 0.13488727813945275), ('is', 12.011984825134277, 0.05667223327562088), ('were', 14.360010147094727, 0.5930683773138533), ('are', 12.215291976928711, 0.06944892078505607)]"
meta-llama/Llama-3.2-1B,In 2017 there, were,"[('was', 12.810050964355469, 0.13244132889126015), ('will', 12.984764099121094, 0.15772497966122334), ('is', 11.957948684692383, 0.05648852198899651), ('were', 14.286422729492188, 0.5797004540973887), ('are', 12.223163604736328, 0.07364471536113143)]"
meta-llama/Llama-3.2-1B,In 2018 there, were,"[('was', 12.686609268188477, 0.12285855424690727), ('will', 13.153082847595215, 0.19588099522083655), ('is', 12.110443115234375, 0.06905253386200086), ('were', 14.138273239135742, 0.5246323329845871), ('are', 12.348077774047852, 0.08757558368566819)]"
meta-llama/Llama-3.2-1B,In 2019 there, were,"[('was', 12.64351749420166, 0.1122419450256784), ('will', 13.519599914550781, 0.2695460331325351), ('is', 12.33552360534668, 0.08248882882215795), ('were', 13.976860046386719, 0.4258125887657347), ('are', 12.622528076171875, 0.10991060425389375)]"
meta-llama/Llama-3.2-1B,In 2020 there, were,"[('was', 12.482816696166992, 0.11855350000330903), ('will', 13.318695068359375, 0.27348388745234115), ('is', 12.030135154724121, 0.07539061472087184), ('were', 13.800662994384766, 0.44284093117741785), ('are', 12.204269409179688, 0.08973106664606025)]"
meta-llama/Llama-3.2-1B,In 2021 there, were,"[('was', 12.505895614624023, 0.11057175254221537), ('will', 13.321703910827637, 0.2500030082280598), ('is', 12.022974967956543, 0.068220425069263), ('were', 13.94432258605957, 0.46595619424178675), ('are', 12.45655632019043, 0.10524861991867504)]"
meta-llama/Llama-3.2-1B,In 2022 there, were,"[('was', 12.491044044494629, 0.10324034979183017), ('will', 13.545534133911133, 0.296352567637848), ('is', 12.454761505126953, 0.09956166725767633), ('were', 13.733181953430176, 0.3575222764434529), ('are', 12.819086074829102, 0.14332313886919262)]"
meta-llama/Llama-3.2-1B,In 2023 there, are,"[('was', 11.889317512512207, 0.04026938893554909), ('will', 14.325777053833008, 0.4603794965590394), ('is', 13.347685813903809, 0.17311565583250368), ('were', 12.945775985717773, 0.11582148389194481), ('are', 13.542802810668945, 0.21041397478096302)]"
meta-llama/Llama-3.2-1B,In 2024 there, will,"[('was', 10.841955184936523, 0.007457324070611648), ('will', 15.49184799194336, 0.7798405324474463), ('is', 13.519571304321289, 0.1085067915095394), ('were', 11.879770278930664, 0.021052340470378104), ('are', 13.253320693969727, 0.08314301150202455)]"
meta-llama/Llama-3.2-1B,In 2025 there, will,"[('was', 10.520544052124023, 0.00459980382303813), ('will', 15.704663276672363, 0.8206796840959909), ('is', 13.28244400024414, 0.07281439022102379), ('were', 12.272653579711914, 0.026525941614633664), ('are', 13.3170747756958, 0.07538018024531336)]"
meta-llama/Llama-3.2-1B,In 2026 there, will,"[('was', 10.893136024475098, 0.011144723128939554), ('will', 15.13313102722168, 0.7735274261951517), ('is', 13.142082214355469, 0.10562681973446122), ('were', 12.256563186645508, 0.04357106512283715), ('are', 12.673791885375977, 0.0661299658186104)]"
meta-llama/Llama-3.2-1B,In 2027 there, will,"[('was', 11.375389099121094, 0.026192777208255594), ('will', 14.579050064086914, 0.6449318540975415), ('is', 13.2096529006958, 0.16398049621948937), ('were', 12.542078018188477, 0.08411396560909853), ('are', 12.501646041870117, 0.08078090686561508)]"
meta-llama/Llama-3.2-1B,In 2028 there, will,"[('was', 11.613459587097168, 0.05025656965471039), ('will', 13.872386932373047, 0.48109686052543016), ('is', 13.18267822265625, 0.24137697266966596), ('were', 12.546770095825195, 0.12779811427064208), ('are', 12.296189308166504, 0.09947148287955139)]"
meta-llama/Llama-3.2-1B,In 2029 there, was,"[('was', 11.819578170776367, 0.08513076901000374), ('will', 13.072946548461914, 0.2981381324745431), ('is', 13.222952842712402, 0.3463892716259659), ('were', 12.398658752441406, 0.15190709469759875), ('are', 12.149751663208008, 0.1184347321918886)]"
meta-llama/Llama-3.2-1B,In 2030 there, will,"[('was', 9.991656303405762, 0.0018713449955806744), ('will', 16.056081771850586, 0.8051937162306131), ('is', 13.511606216430664, 0.06321915459885563), ('were', 12.56544303894043, 0.024543428908368754), ('are', 14.020599365234375, 0.10517235526658192)]"
meta-llama/Llama-3.2-1B,In 2031 there, will,"[('was', 11.410308837890625, 0.023247946904072964), ('will', 14.651012420654297, 0.5940244057838213), ('is', 13.518233299255371, 0.19135709394022887), ('were', 12.753377914428711, 0.08905782692489297), ('are', 12.892126083374023, 0.10231272644698375)]"
meta-llama/Llama-3.2-1B,In 2032 there, will,"[('was', 11.274407386779785, 0.01997304368405499), ('will', 14.663534164428711, 0.592002185313409), ('is', 13.72419548034668, 0.23140551373608478), ('were', 12.355722427368164, 0.05889160726359251), ('are', 12.862208366394043, 0.09772765000285878)]"
meta-llama/Llama-3.2-1B,In 2033 there, will,"[('was', 11.507180213928223, 0.04212126218920743), ('will', 13.721694946289062, 0.38570290065574075), ('is', 13.701704025268555, 0.37806890397756854), ('were', 12.219009399414062, 0.08583113666090247), ('are', 12.451309204101562, 0.10827579651658073)]"
meta-llama/Llama-3.2-1B,In 2034 there, will,"[('was', 11.470155715942383, 0.03318976423799703), ('will', 14.060297012329102, 0.44247449248669857), ('is', 13.812976837158203, 0.34552418595361417), ('were', 12.20043659210205, 0.0688907832049755), ('are', 12.66767406463623, 0.10992077411671472)]"
meta-llama/Llama-3.2-1B,In 2035 there, will,"[('was', 11.066539764404297, 0.011699302701251798), ('will', 15.068680763244629, 0.6401293342381105), ('is', 13.985297203063965, 0.2166507652780053), ('were', 12.252246856689453, 0.03829182144654767), ('are', 13.142066955566406, 0.09322877633608478)]"
meta-llama/Llama-3.2-1B,In 2036 there, will,"[('was', 11.226313591003418, 0.024779058717925878), ('will', 14.270566940307617, 0.5202202290014805), ('is', 13.807122230529785, 0.3272772036756268), ('were', 11.959936141967773, 0.05160514830628113), ('are', 12.348604202270508, 0.07611836029868588)]"
meta-llama/Llama-3.2-1B,In 2037 there, will,"[('was', 11.448572158813477, 0.046341247457376), ('will', 13.737739562988281, 0.4572360793329999), ('is', 13.58001708984375, 0.3905192911997596), ('were', 11.512338638305664, 0.04939251615114381), ('are', 11.64697265625, 0.05651086585872079)]"
meta-llama/Llama-3.2-1B,In 2038 there, will,"[('was', 11.150230407714844, 0.032969868766934425), ('will', 13.848455429077148, 0.48971280060780825), ('is', 13.526921272277832, 0.35505934384332327), ('were', 11.573579788208008, 0.05034722267122247), ('are', 11.930062294006348, 0.07191076411071155)]"
meta-llama/Llama-3.2-1B,In 2039 there, is,"[('was', 11.405933380126953, 0.04161921140263148), ('will', 13.28390884399414, 0.2722000672001164), ('is', 13.914684295654297, 0.5114822018301077), ('were', 11.716394424438477, 0.056770845899555354), ('are', 12.447443008422852, 0.117927673667589)]"
meta-llama/Llama-3.2-1B,In 2040 there, will,"[('was', 10.977724075317383, 0.010724398558200676), ('will', 15.057197570800781, 0.6339657178830503), ('is', 13.700199127197266, 0.16320326307007588), ('were', 12.84507942199707, 0.06939929655955093), ('are', 13.41500473022461, 0.1227073239291222)]"
meta-llama/Llama-3.2-1B,In 2041 there, will,"[('was', 11.713156700134277, 0.06389346417435181), ('will', 13.610275268554688, 0.4259558244768671), ('is', 13.285828590393066, 0.30793507469854475), ('were', 12.259175300598145, 0.11030350188924166), ('are', 12.076772689819336, 0.09191213476099462)]"
meta-llama/Llama-3.2-1B,In 2042 there, will,"[('was', 11.492900848388672, 0.037391705861148344), ('will', 13.997859954833984, 0.4577888345473354), ('is', 13.687023162841797, 0.33548298033189516), ('were', 12.197729110717773, 0.07566208480461081), ('are', 12.411276817321777, 0.09367439445501033)]"
meta-llama/Llama-3.2-1B,In 2043 there, is,"[('was', 11.453948974609375, 0.04609916822256943), ('will', 13.39444351196289, 0.320951314787586), ('is', 13.746630668640137, 0.4564488296477828), ('were', 11.848773956298828, 0.06841690126579926), ('are', 12.306060791015625, 0.10808378607626244)]"
meta-llama/Llama-3.2-1B,In 2044 there, will,"[('was', 11.413529396057129, 0.03559189201897238), ('will', 13.781145095825195, 0.37983371293625073), ('is', 13.79565715789795, 0.38538607401645963), ('were', 12.164619445800781, 0.07543021388361852), ('are', 12.659740447998047, 0.12375810714469872)]"
meta-llama/Llama-3.2-1B,In 2045 there, will,"[('was', 11.208587646484375, 0.025208273242443784), ('will', 14.16513442993164, 0.4847915609666051), ('is', 13.736940383911133, 0.3159313620641644), ('were', 12.219413757324219, 0.06926906089320342), ('are', 12.633466720581055, 0.10479974283358331)]"
